ModelID	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	Gene	GeneEffect
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	ULBP6	-0.137324026846287
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	MICA	0.131425376519044
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	MICB	-0.0238987750773597
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ULBP1	0.160439963560401
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ULBP2	-0.071554585011432
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ULBP3	-0.389209362065278
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ULBP4	-0.0571653931192891
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ULBP5	0.0530204401697521
ACH-000262	UOK101	UOK101	UOK101_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ULBP6	-0.179516155949303
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICA	0.0765898857657213
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICB	-0.137606559390545
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP1	-0.0337844776581247
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP2	-0.16774544244393
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP3	-0.0190242784466831
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP4	0.160375491501004
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP5	0.137246561993585
ACH-000307	PK-1	PK1	PK1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP6	-0.0160840048692821
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICA	0.06715293354051
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICB	-0.408892567054829
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP1	0.190364902208291
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP2	-0.156702646288196
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP3	0.0125823022273246
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP4	0.222555229939386
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP5	-0.0281130861437035
ACH-000332	YAPC	YAPC	YAPC_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP6	-0.156867102929988
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	MICA	0.0613799604122761
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	MICB	-0.168746558728444
