"CAR_Variant","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0,0.00633197648123021,0,0,0,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0,0,0.288104929895975,0,0,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0,0,0,0.138398914518318,0,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0,0,0,0,0,0.000904568068747173,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0,0,0,0,0,0,0.00316598824061511,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0,0,0,0,0.0108548168249661,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0.389221556886228,0,0,0,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0.263473053892216,0,0,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0,0.149700598802395,0,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0,0,0.0479041916167665,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0,0,0,0.0119760479041916,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0,0,0,0,0.0359281437125748,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0,0,0,0,0,0.0239520958083832,0,0,0,0.24
"TIM1-FCER1G",167,-0.23032429955131,-0.164862804003014,0.0368773865430619,-0.471445058162918,-0.620603288689636,1.04676876445349,0,0,0,0,0,0,0,0,0,0.0778443113772455,0.24
