SYMBOL,D1_UTD,D2_UTD,D3_UTD,D1_NKG2D,D2_NKG2D,D3_NKG2D,D1_N_1012,D2_N_1012,D3_N_1012,D1_NZ,D2_NZ,D3_NZ,D1_NZ_10,D3_NZ_10,D1_N_10Z,D2_N_10Z,D3_N_10Z
ALKBH7,1330,3575.089,2011.9750000000001,1100,2089.9120000000003,2181,661,1253.9999999999998,848.0000000000001,785,827.996,1073.988,357,1801.9999999999998,360.00100000000003,642.884,2006.001
ALOX15P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPK2,5,52,0,12.014,19.677,0,3.734,4.624,5,6,1,4.732,0,6,1,8,4
ALPK3,1,1,0,1,0,0,1,0,1,0,15,0,0,1,0,7,0
ALPP,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALX3,0,1.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALX4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
ALYREF,4888.0740000000005,6893.290000000001,1784.57,4765.88,2612,1588.015,8776.984,3932.12,11049.807999999999,10642.488000000001,5862.073000000001,12551.002999999999,3405.8469999999998,22950.292,4228.146,4810.5070000000005,27989.360999999997
AMACR,68.66900000000001,429.90999999999997,103.036,169.992,145.926,117.57,141,208.46,209.522,190.1,79.883,193.683,34.87,252.452,65.387,123.197,391.878
AMD1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMDHD1,1,29.107,5.359,5,7,8.693,1.11,9.32,16.312,3,4,13.722000000000001,1.112,13.085,2,1,17
AMH,3,2,1,5,0,1,1,0,6,2,4,14,0,17,1,0,10
AMIGO1,127,432,360,118,31,216,14,42,45,33,43,64,14,48,15,22,48
AMIGO2,106.999,301,295.245,173.031,97,233,109,266,275.001,249,121.131,339,92,436,77,116,568.302
AMIGO3,73.301,231.592,151.018,0,45.994,58.222,0,38.909,0,0,100.937,75.761,0,102.795,0,28.163,13.878
AMMECR1LP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2B,4,9,10.277000000000001,3,1,1.212,0,3.801,1.894,0,2,2,0,4,0,3,0
AMYP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMZ2P2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANAPC15,1014.0000000000001,2118.8169999999996,741.511,897.8040000000001,945.5720000000001,746.798,817.671,900.9400000000003,1308.453,1085.853,1078.6339999999998,1357.508,458.9150000000001,2057.669,367.8910000000001,809.4839999999998,2494.3569999999995
ANAPC15P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPC16,2045.9979999999998,5959.768000000001,3042.856,2025.0149999999999,2954.999,2618.956,1412,2480.156,2023.4160000000002,1673.9999999999998,1876.9660000000001,2407.9759999999997,1798.998,3580.056,759,1659.4289999999999,4465.823
ANAPC1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPC1P4,0,8.299,0,0,0,6.77,0,1.98,3.048,0,0,6.762,0,0,0,2.643,0
ANAPC1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPC2,706,1711.001,546.0110000000001,955,353,354,714,518,1069.9999999999998,957,1011.0010000000001,1534.0010000000002,338.001,1821.7549999999999,410.999,771.9990000000001,1892.999
ANCV1RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT4,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ANGPTL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPTL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPTL7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ANHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKHD1-EIF4EBP3,221.56,555.6379999999999,94.947,287.564,187.538,99.904,292.822,242.062,300.207,368.061,323.206,526.153,40.198,577.418,241.25099999999998,377.721,629.2629999999999
ANKK1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0
ANKMY2,170,817,242,339.99999999999994,295.99999999999994,227,147,320,407,353,264,484,104,554,143,257,928.001
ANKRD1,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0
ANKRD11P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD18EP,8,109,33,28,16,20,3,24,22,14,28,39,6,41,10,19,57
ANKRD18FP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A1,0,4.148,2.2110000000000003,12.512,1,1,0,0,0,0,4,5.481,2,8.418,0,0,7.201
ANKRD20A17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A18P,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
ANKRD20A8P,0,0,0,6.166,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD22,11,24,5,15,8,9,21,11,16,9,4,21,14,14,5,2,25
ANKRD26P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANKRD30BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD33BP1,0,1.406,0,0,0,0,1.593,0,0,1.421,1.363,0,0,0,0,0,0
ANKRD33BP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD33BP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD34A,17,54,14,50,20,5,29,22,44,58,21,89,17,169,35,16,192
ANKRD34B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ANKRD34C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANKRD37,48.007999999999996,138.06900000000002,42.201,53.985,55.681,38.123999999999995,122.23400000000001,68.39,205.07399999999998,197.24099999999999,69.303,171.29899999999998,36.7,186.25900000000001,51.963,55.74,308.016
ANKRD39,302.691,1047.221,332.306,461.331,654.1260000000001,299.452,524.232,411,880.989,673.044,698.101,822.199,294.235,1661.4560000000001,326,570.319,1916.57
ANKRD40,323,1460,408,597,377,316,502,562,1364.055,1100,868,1522,284,2173.048,428,806.435,3174.051
ANKRD45,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
ANKRD49,107.999,486,201.001,251.99900000000002,194,155,150,184.99900000000002,268,248.001,172.001,276.999,168.00000000000003,325,119.001,123,562.0120000000001
ANKRD49P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANKRD61,0,2,0,1,1,0,4,1,4,1,1,3,4,2,3,0,8
ANKRD62P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
