gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CAR,neg_log10_padj,gene_group
TNFRSF18,3348.6032748368634,1.5470909066732992,0.7590675103045024,2.038146654508607,0.04153526856042201,0.15279295372624524,NKG2D-CD3ζ,0.8158966734329103,Activation
TNFRSF4,2648.7120502301223,2.0251321204709845,0.6625693944380314,3.056483045355018,0.00223950145662774,0.02298198067386137,NKG2D-CD3ζ,1.6386125448966493,Activation
TNFRSF8,422.387357082927,1.7363340875402835,1.3436693768268908,1.292233132261063,0.19627642091034592,0.40441788521130506,NKG2D-CD3ζ,0.3931696461650651,Activation
TNFRSF9,4671.229029728614,3.7286488661712553,0.8332204238895276,4.4749849610811,7.641669122414386e-6,4.686276606396292e-4,NKG2D-CD3ζ,3.329172080850832,Activation
TNFSF13B,175.8331403163972,-2.4853470228489676,0.6745571192448153,-3.684413005130507,2.2923029882240708e-4,0.00510999512849365,NKG2D-CD3ζ,2.291579513890597,Activation
TOP2A,3989.5442825525097,0.49541809608672455,0.5133195930383495,0.965126020525214,0.3344816954148572,0.5581247852283975,NKG2D-CD3ζ,0.25326869088789755,Proliferation
ULBP1,8.147143972440439,0.9167973849905676,1.2430025117874035,0.7375667999835642,0.4607777364809111,0.673900001703467,NKG2D-CD3ζ,0.1714045425304993,NA
ULBP2,11.334227455852142,0.24663451727019,0.9275616970386088,0.26589553887101064,0.7903196609290175,0.8948432474061659,NKG2D-CD3ζ,0.04825303479447212,NA
ULBP3,29.18383410529467,-1.5486711226631966,0.6756738994578583,-2.29203928685984,0.02190337625880338,0.10058797886658366,NKG2D-CD3ζ,0.9974539181255847,NA
CDC20,2991.2005236185596,0.7374124647469527,0.5032309195206153,1.4653560346598375,0.14282380590244095,0.3099217729331069,NKG2D-CD3ζ/Dap10,0.5087479122003944,Proliferation
CDK1,1483.380445990774,1.346315861291495,0.5095739375243883,2.642042228125256,0.00824077805758321,0.04934771801541005,NKG2D-CD3ζ/Dap10,1.3067329255927127,Proliferation
CRTAM,2684.302560885621,1.608522077943607,0.8842845186469291,1.8190096558569813,0.06890995695650835,0.19327542818054833,NKG2D-CD3ζ/Dap10,0.7138233559244581,Activation
DUSP4,6596.980547364267,2.314916645897704,0.6029489851729942,3.8393242261341944,1.233734188676796e-4,0.00323706296689714,NKG2D-CD3ζ/Dap10,2.4898488526796014,Activation
GNLY,45989.14793838967,-3.698783931175549,1.4291522380024713,-2.5880965182165236,0.00965079349609789,0.05406002079435615,NKG2D-CD3ζ/Dap10,1.26712379158453,Cytotoxicity
GZMA,13014.881674171866,-0.5907546570076128,0.6057576636654145,-0.9752326589365472,0.3294448655049146,0.5257208795339163,NKG2D-CD3ζ/Dap10,0.2792447741965406,Cytotoxicity
