gene,HCT 116,A549,PC-3,K-562,SK-N-SH,NCI-H929,Hep G2,MCF7,PANC-1
GREM1,0.147027902779496,3.71889859785355,0.743131462225357,0.179584934748102,6.88706216929774,0.074853394911993,0.149125366860986,0.0535798755286897,0.0741957648789476
NYAP1,1.39713484211509,0.503472898286479,0.199848833548346,0.751497999226787,2.4448101632208,0.0512746425519339,0.140386032283056,0.159000049123974,0.801096558844499
TSC22D4,3.92082682718891,3.57659469410306,4.03370490523819,5.76532522212651,4.60617569580812,4.14013240613996,2.95265226611667,4.40426962470088,4.50726819827754
MS4A6E,0,0,0,0,0,0,0,0,0
MS4A7,0,0,0.114662863716062,0.032165745347114,0,0.0266570218736377,0,0,0.0110704964133306
MS4A14,0,0,0,0,0,0.0135580194200144,0,0,0
MS4A5,0,0,0,0,0,0,0,0,0
DIS3L,4.77964844961742,5.30319624698775,3.49696080242051,4.49329507050358,4.72312164595063,3.74602247816073,4.55666851636014,4.38670060228761,4.77693040505813
CCNDBP1,4.65844572312755,4.39281197630273,4.53743275006849,6.39513650947719,5.42938498061248,5.73473942206911,3.89209954292607,4.69124381007553,4.93455896091997
EPB42,0.0249437190568869,0,0,0.474351932263627,0,0,0,0,0.0103186754237955
TGM6,0,0,0,0,0,0.00690980514464882,0,0,0
SMAD3,5.67711354719704,6.43589357492798,5.02494903641853,4.26293672004996,4.38233524253165,2.6385349623753,4.03792686396226,4.42539887788854,7.99053514749151
MS4A8,0.0398542984619851,0,0,0.131571047212998,0.0565252645055341,0,0,0,0
CCDC178,0,0,0,0.107353098448296,0,0,0,0.0396255283751961,0
MS4A15,1.10823672542425,0,0,0,0,0.0127359949718707,0,0,0
MAP1A,1.07717462313961,0.298509346678434,0.281472741836321,2.85695582001045,3.44954024574396,0.0219430210759728,0.0313133188911524,0.263200306224406,0.683216748631591
RCCD1,4.1850657066013,4.29144148146921,1.95345522636801,5.55478222124481,4.28508405102831,3.93917955300352,3.67812825928701,5.06713960674058,4.09782988087315
AKTIP,4.24505445073549,4.65291665793111,4.01730729587723,3.1219139035398,4.68683664997608,3.7771566660045,4.40645503671641,4.9721595853908,4.71593179798593
MAPRE2,4.3690755699189,4.06961624845472,1.77672305573095,5.08746708446481,4.14112211371583,3.29619600993374,5.30938358181551,1.24883233095615,4.32481780247957
EVA1C,4.36707746410997,3.33357973100471,3.02459982138561,0,2.92199227825723,0.0345242274795918,0.327247016342135,0.87935837994953,2.18948301475174
MARS1,7.67881841933379,7.54369693111822,6.59524852869185,8.82779997482112,7.40554144701679,7.19800295652124,6.51603406333561,8.07011020810169,7.50681930239615
MBD6,3.22655014541156,3.23061805133914,2.93852480961789,4.58087509128982,3.930349413304,4.43228465599497,4.2600633040882,5.14927156135971,4.21801390252067
CNPY4,1.8866749999104,3.6194482264832,4.15299460549244,2.36495896675402,4.91726943113149,2.40866567231323,2.95698220871586,3.09185721046635,3.71784638377681
PDIA3,8.33021328072858,7.78756306179229,8.70559783137773,8.37032995771546,8.80112954834093,6.94923142155382,8.87528552604088,8.53350494778376,9.19692173382033
NUDT21,7.1261985375792,6.36916632719041,5.6201200982866,7.37289117200372,6.8495865016022,6.19654999923315,6.77448399593638,6.68526740651684,6.31194444463348
NAT16,0.305595867603116,0.00972696745565592,0.0555080423478095,0,1.26801511865652,0.0536674490388253,0.0156060386289313,0.0438288219096669,0.0481859555507016
TERB2,0,0,0,0,0,0,0,0,0
NKX3-1,2.25260639899949,2.24209331925932,0.928499188544642,0.00969830715516713,0.228318777386699,0.633376338074468,1.99229349569277,0.306236570845313,0.881450841883437
SGSM1,0.924904833133884,0.393154767254016,0.0777488791056985,0.0439449778320721,0.810235785086461,0.0413369155856291,0.0158386490919569,0.379325961196886,0.397045005699992
DUSP18,2.49448473521192,1.69463508092887,1.19531609808661,1.30359957813371,2.27085183073118,1.27080399997971,0.547694617387043,1.85542765413892,2.56590176680667
TEF,3.04919336270967,0.851930896965103,1.21826040191117,0.613904065331564,2.23976768099416,1.32075037515897,2.07657619667843,2.44656591283265,2.27338459400336
MEI1,0.145303121007148,0.0381172644480081,0.284820880611416,0.771126643851671,0.0861016530211522,5.39755656026464,0.606428961909318,0.16730011600422,0.198284177512495
B4GALNT2,0,0.642643354621748,0.151986069543126,0,0.0080952901964159,0,0.015427630959919,0.0879040687256135,0.0120637312706525
PBX3,2.92327470945095,3.35546315974211,2.30423357377546,0.577844022749063,5.64271601026219,1.28581055474286,2.29369418606432,3.50658924861225,4.96924720999791
GNGT2,0.0654813217461352,0.226063321882249,0.0751930530136366,0,4.64180032791521,0.0632337061489186,0,0,0
PHB1,8.81598202610263,8.23026066466979,8.70942850136835,7.1528628187291,8.23745855621096,7.53866231448749,8.58796873808529,9.2585895879024,8.72941341558802
SNRPD1,7.27374898472805,6.27866503325649,7.02935349277838,7.13080734612751,7.61370844294828,7.18102301741268,6.77303368002311,6.63761459308231,7.53120988657982
TTC16,0.023837281628,0.00955356393937338,0.00839652945268645,0,0.0139609976834915,0.0619959542729541,0.0082918200813637,0.0351889243880411,0.013180661132703
SUN5,0,0,0,0,0,0,0,0,0
SAMD14,0.377453628969221,0.238580221516571,0.395498285062598,0.0834775402504261,3.19067806561753,0.097799548115589,0.18428156411743,0.165168458050506,1.22061475068124
PIP5KL1,1.85036338895715,0.797971688154613,0.798692583782249,3.10337006591511,2.09831511828045,1.59507393882135,0.102357132618974,1.07547102009917,1.22805520665484
BPIFB6,0,0,0,0,0,0,0.106282649587888,0,0
TMEM92,1.48285344475884,2.88115557333595,2.6516166002349,0.360305837079741,0.468025419197138,0.0195325523837512,0.0305507890966426,0.00998488454208023,0.160735645617667
EEIG1,3.90080885756001,4.47823409522261,2.60328569522833,4.21723071622067,4.13833938891564,2.62757882436173,3.94301173890824,5.45061742373415,6.84681922693415
ACSF2,4.21366611710159,3.40020180806421,5.09478922213264,3.23469597622502,4.40128913764074,3.81818590116784,6.28918340910712,5.47689360440781,2.54612646400884
GOLGA2,5.06838275876462,4.9705361897016,4.7291122271399,7.36942286013679,6.03821447493202,4.85120433683519,5.16677970612057,6.88484209379946,5.39191890911305
TRUB2,5.03594496162104,5.16998911979707,4.1195719840917,5.00416876999033,4.98964767664019,4.95508957394622,4.17900139909924,5.75116107481915,4.16216168781514
COQ4,5.42925106014706,5.10954861573582,3.60179158386203,6.68326133474465,5.26581567379372,5.44063997885681,4.54478828577425,6.39829563884343,4.07266321464727
SLC27A4,4.69151741526654,4.23519858748545,3.80728278550213,2.85730625306336,4.01825137479732,3.2144714458111,3.34620096020983,4.6216416549516,3.338023570861
ANKRD40CL,0.057580585417979,0,0.0432955042134646,0,0,0.00736488252015869,0.264106410768363,0,0
URM1,6.30371682989228,6.18189764310839,4.61960668733006,6.2727902569225,6.52721268324428,5.62227150248209,5.98487640262313,6.3992480127134,5.49534979534793
CERCAM,3.6187437453997,4.14101581404518,3.31216850826187,4.2656094210176,5.10916829870326,5.54588499176859,3.20639004254392,5.43466491999197,2.37645987337586
DOLPP1,4.27334430770019,4.41520430124989,3.54201035553661,4.51110111997789,4.22485835170255,3.26455444580902,4.30259688740515,4.63717549436895,3.69039474531998
DNAAF19,0.987542801940904,2.46858331700683,1.52196030308671,0.661179522338203,1.74536642658117,0.72303949105427,0.166908219842449,1.50707406398427,1.30878605980456
ENDOG,3.74300863262749,3.65831432467326,3.75767401980924,4.91262591557756,4.62795696433957,4.0674752342961,3.76598021575519,4.494076338755,4.26659167002249
TBC1D21,0,0,0,0,0,0,0,0,0
PRRX2,3.77725136935394,2.10475934108807,0.0787983563894812,0.16521992235689,3.78703537618707,0.0798457057760864,0,0.272794809587095,1.86971745786406
C15orf39,4.11907391909991,3.29764191323922,1.85673078118336,3.72757198801982,2.93771349405307,4.78485990151464,4.27858698394629,3.19580427446557,2.52538236636955
ISLR2,0.0695564463845815,0.0221106796636184,0.0327060132136173,0.00873212197589332,3.89270187620217,0,0,0.0568540083298299,0.0797146580335624
