File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF758MFJ	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF761ABK	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF761OMK	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF761UZG	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF761YWV	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF762CML	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF763SRL	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF763XOQ	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF765ZCA	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF766FPC	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF766PSK	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF766PWX	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF767GWJ	TCF4	SK-N-SH	TF ChIP-seq	TCF4-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF768IDP	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF768INF	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF768ZDS	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF769WRU	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF771LVW	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
