"CAR_group","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0,0.128526645768025,0,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0,0,0.457680250783699,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0,0,0,0.0501567398119122,0,0.0501567398119122,0,0,0,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0,0,0,0,0.109717868338558,0,0,0,0,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0,0,0,0,0,0,0,0,0.0783699059561129,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0,0,0,0,0,0,0.0156739811912226,0,0,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0.0454545454545455,0,0.0454545454545455,0,0,0,0,0,0,0,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0,0.0363636363636364,0,0,0,0.0363636363636364,0,0,0,0,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0,0,0,0.154545454545455,0,0,0,0,0,0,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0,0,0,0,0.363636363636364,0,0,0,0,0,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0,0,0,0,0,0,0.290909090909091,0,0,0,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0,0,0,0,0,0,0,0,0,0.00909090909090909,0.24
"CD357-CD79B",110,0.0348682996781562,0.0671481365638107,0.0405020874969651,0.753215908628732,1.26119810740613,1.61046364581161,0,0,0,0,0,0,0,0.0181818181818182,0,0,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0.0214285714285714,0.0214285714285714,0,0,0,0,0.0214285714285714,0,0,0,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0,0,0.0285714285714286,0,0,0,0,0,0,0,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0,0,0,0.571428571428571,0,0,0,0,0,0,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0,0,0,0,0.157142857142857,0,0,0,0,0,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0,0,0,0,0,0.0571428571428571,0,0,0,0,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0,0,0,0,0,0,0,0,0.00714285714285714,0.00714285714285714,0.24
"CD4-FCGR2A",140,0.0705672900547558,0.00601690632972904,0.0389963205967061,1.0975075447562,0.629004058055249,1.39459162485839,0,0,0,0,0,0,0,0.107142857142857,0,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0.043010752688172,0,0,0,0,0,0,0,0,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0.0376344086021505,0,0,0.0376344086021505,0,0,0,0,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0,0.0537634408602151,0,0,0,0,0,0,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0,0,0.586021505376344,0,0,0,0,0,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0,0,0,0,0.0967741935483871,0,0,0,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0,0,0,0,0,0.010752688172043,0,0.010752688172043,0,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0,0,0,0,0,0,0,0,0.0752688172043011,0.24
"CD4-K1",186,0.000434936914813271,-0.0158935083849428,0.027148080226714,0.421130360043222,0.402415557408602,-0.304013645963983,0,0,0,0,0,0,0,0.0483870967741935,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0.128205128205128,0,0,0,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0.348717948717949,0,0,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0,0.353846153846154,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0,0,0.0102564102564103,0,0,0,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0,0,0,0.0358974358974359,0,0,0,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0,0,0,0,0.00512820512820513,0,0.00512820512820513,0,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0,0,0,0,0,0,0,0.0307692307692308,0.24
"HVEM-CD79B",195,0.0205185301421537,-0.0266095467158392,0.0315667778395364,0.614822481266124,0.291594694823838,0.329466332575258,0,0,0,0,0,0,0,0.0153846153846154,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0.169354838709677,0,0,0,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0.0806451612903226,0,0,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0.17741935483871,0,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0,0.314516129032258,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0,0,0.032258064516129,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0,0,0,0.120967741935484,0,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0,0,0,0,0.0725806451612903,0,0,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0,0,0,0,0,0,0.00806451612903226,0,0.24
"TIM1-CD3G",124,-0.076945575559807,-0.119613536206491,0.0292759577026717,-0.325150219973742,-0.670214326469209,0.00104632779213512,0,0,0,0,0,0,0,0.0241935483870968,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0.0104025327905925,0,0,0,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0.0126639529624604,0,0,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0.0800542740841248,0,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0.449118046132972,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0,0.00633197648123021,0,0,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0,0,0.288104929895975,0,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0,0,0,0.138398914518318,0,0,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0,0,0,0,0,0.000904568068747173,0,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0,0,0,0,0,0,0.00316598824061511,0.24
"TIM1-CD79B",2211,0.0941347058027053,0.089674645844399,0.0252389902668172,1.32479868216821,1.49415800474999,-0.577707474506462,0,0,0,0,0,0,0,0.0108548168249661,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0.389221556886228,0,0,0,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0.263473053892216,0,0,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0,0.149700598802395,0,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0,0,0.0479041916167665,0,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0,0,0,0.0119760479041916,0,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0,0,0,0,0.0359281437125748,0,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0,0,0,0,0,0.0239520958083832,0,0,0,0.24
"TIM1-FCER1G",167,-0.0720169223229929,-0.0961332005772065,0.0368773865430619,-0.277616828443433,-0.427390349186986,1.09081381147431,0,0,0,0,0,0,0,0,0,0.0778443113772455,0.24
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0.12516960651289,0,0,0,0,0,0,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0.372116689280868,0,0,0,0,0,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0.0305291723202171,0,0,0,0,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0.073270013568521,0,0,0,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0,0.140094979647218,0,0,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0,0,0.0396879240162822,0,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0,0,0,0.169945725915875,0,0,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0,0,0,0,0,0.0149253731343284,0,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0,0,0,0,0,0,0.0169606512890095,0.3
"Unstim_CD28_CD3Z",2948,-0.22714196449972,-0.21387311130223,0.0294743671313806,-1.77368867842987,-1.64500809786377,0.0294909989721121,0,0,0,0,0,0,0,0.0172998643147897,0,0,0.3
