"Program","Program_clean","Gene","rho","p_value","n_cells","FDR"
"TCAT_ICOS/CD38","ICOS/CD38","ULBP3",0.0246860672371004,0.0389615812280659,6995,0.0750635968614114
"TCAT_ICOS/CD38","ICOS/CD38","NKG2DL_sum",-0.0114688364192454,0.337523958187348,6995,0.448607792527488
"TCAT_Th1-Like","Th1-Like","MICA",-0.0553254662501534,3.65795807858471e-06,6995,1.56769631939345e-05
"TCAT_Th1-Like","Th1-Like","MICB",-0.0596794990993016,5.88596328626594e-07,6995,2.80920975026329e-06
"TCAT_Th1-Like","Th1-Like","ULBP1",-0.0462570427658966,0.000108773054681735,6995,0.000400742833037972
"TCAT_Th1-Like","Th1-Like","ULBP2",-0.0370595334207595,0.00193503412387141,6995,0.0055647967045639
"TCAT_Th1-Like","Th1-Like","ULBP3",-0.0256627244001322,0.0318490134402138,6995,0.0625074095555598
"TCAT_Th1-Like","Th1-Like","NKG2DL_sum",-0.0645705175342726,6.47711322651216e-08,6995,3.40048444391888e-07
"TCAT_CTLA4/CD38","CTLA4/CD38","MICA",0.00562924240612533,0.637835298180071,6995,0.701284882815785
"TCAT_CTLA4/CD38","CTLA4/CD38","MICB",0.0357151062828405,0.00281276641137463,6995,0.00777211771564042
"TCAT_CTLA4/CD38","CTLA4/CD38","ULBP1",0.0106177641662178,0.374597296575164,6995,0.468246620718956
"TCAT_CTLA4/CD38","CTLA4/CD38","ULBP2",0.0335408518120505,0.00502363098372283,6995,0.0128653964217292
"TCAT_CTLA4/CD38","CTLA4/CD38","ULBP3",-0.0559131155556186,2.88023646873496e-06,6995,1.26010345507155e-05
"TCAT_CTLA4/CD38","CTLA4/CD38","NKG2DL_sum",0.0263238263831887,0.0276928242456166,6995,0.0561379049184235
"TCAT_CD8-Trm","CD8-Trm","MICA",-0.0210669735724363,0.0780962526961586,6995,0.135637527844472
"TCAT_CD8-Trm","CD8-Trm","MICB",-0.00278073799196303,0.816127155589954,6995,0.844269471299952
"TCAT_CD8-Trm","CD8-Trm","ULBP1",-0.0155486412768426,0.193507019183453,6995,0.288201943464718
"TCAT_CD8-Trm","CD8-Trm","ULBP2",-0.0213626803222933,0.0740060148130691,6995,0.130598849670122
"TCAT_CD8-Trm","CD8-Trm","ULBP3",0.0587446479205121,8.808623247483e-07,6995,4.1106908488254e-06
"TCAT_CD8-Trm","CD8-Trm","NKG2DL_sum",0.00937408948811655,0.433104922597202,6995,0.528790893868677
"TCAT_Th17-Activated","Th17-Activated","MICA",0.0309191834020775,0.00970641057647032,6995,0.0231630252393042
"TCAT_Th17-Activated","Th17-Activated","MICB",0.0950851103010119,1.59719288871905e-15,6995,1.67705253315501e-14
"TCAT_Th17-Activated","Th17-Activated","ULBP1",0.0220418536164163,0.0652721598032462,6995,0.117155158621211
"TCAT_Th17-Activated","Th17-Activated","ULBP2",0.0564377392988864,2.32214427810748e-06,6995,1.03755382638845e-05
"TCAT_Th17-Activated","Th17-Activated","ULBP3",0.0890506410190765,8.56433820667598e-14,6995,8.17505010637252e-13
"TCAT_Th17-Activated","Th17-Activated","NKG2DL_sum",0.0967596294772741,5.05413033439193e-16,6995,5.89648539012391e-15
"TCAT_Tfh-2","Tfh-2","MICA",0.0262512404300418,0.02812504518602,6995,0.0562500903720399
"TCAT_Tfh-2","Tfh-2","MICB",-0.00589505596223054,0.622043848486585,6995,0.694836213735015
"TCAT_Tfh-2","Tfh-2","ULBP1",0.00646629525166714,0.588697264957625,6995,0.675554238475963
"TCAT_Tfh-2","Tfh-2","ULBP2",0.0243110630087564,0.0420303010662363,6995,0.0795167858009876
"TCAT_Tfh-2","Tfh-2","ULBP3",-0.0449598817668401,0.000168897480889715,6995,0.000587447557494433
"TCAT_Tfh-2","Tfh-2","NKG2DL_sum",-0.0117706340199472,0.324963959695385,6995,0.434665169019305
"TCAT_OX40/EBI3","OX40/EBI3","MICA",0.0223060877752382,0.0621122993512774,6995,0.113422459684941
"TCAT_OX40/EBI3","OX40/EBI3","MICB",0.0327573708417711,0.00614494803784801,6995,0.0155474588909407
"TCAT_OX40/EBI3","OX40/EBI3","ULBP1",0.011260507920956,0.346373554486364,6995,0.454613742295862
"TCAT_OX40/EBI3","OX40/EBI3","ULBP2",0.0384910974287733,0.00128251546530669,6995,0.00390330793788994
"TCAT_OX40/EBI3","OX40/EBI3","ULBP3",-0.00775785098124413,0.51651269373133,6995,0.612811670528696
"TCAT_OX40/EBI3","OX40/EBI3","NKG2DL_sum",0.023992109834122,0.0447989755990888,6995,0.0839980792482916
"TCAT_IEG3","IEG3","MICA",0.0366214709325815,0.00218868240427583,6995,0.00612831073197234
"TCAT_IEG3","IEG3","MICB",0.035293149202741,0.00315544989396142,6995,0.00849544202220382
"TCAT_IEG3","IEG3","ULBP1",0.0170227098994805,0.154573288031437,6995,0.238679341813249
"TCAT_IEG3","IEG3","ULBP2",0.0201323296007775,0.0922474784828124,6995,0.153745797471354
"TCAT_IEG3","IEG3","ULBP3",-0.060482784716997,4.14280964065858e-07,6995,2.02323261520535e-06
"TCAT_IEG3","IEG3","NKG2DL_sum",0.0281444976419035,0.0185755055607456,6995,0.0402150120387276
"TCAT_SOX4/TOX2","SOX4/TOX2","MICA",-0.0210629570095179,0.0781530517580054,6995,0.135637527844472
"TCAT_SOX4/TOX2","SOX4/TOX2","MICB",0.0107361923666909,0.369292805288002,6995,0.467177645243859
"TCAT_SOX4/TOX2","SOX4/TOX2","ULBP1",-0.0119650280643405,0.317036938324947,6995,0.429756811185782
"TCAT_SOX4/TOX2","SOX4/TOX2","ULBP2",-0.00295927898318239,0.804553086460675,6995,0.836416575033375
"TCAT_SOX4/TOX2","SOX4/TOX2","ULBP3",0.0694689607219988,6.02354405564137e-09,6995,3.72042426966085e-08
"TCAT_SOX4/TOX2","SOX4/TOX2","NKG2DL_sum",0.00126339495617213,0.915862745273891,6995,0.929136118393803
"TCAT_CD40LG/TXNIP","CD40LG/TXNIP","MICA",-0.0106519397179584,0.373061733919729,6995,0.468246620718956
"TCAT_CD40LG/TXNIP","CD40LG/TXNIP","MICB",-0.0667102929540141,2.34219657078974e-08,6995,1.29437178912065e-07
"TCAT_CD40LG/TXNIP","CD40LG/TXNIP","ULBP1",0.00718526567303776,0.547941180186539,6995,0.63256574375862
"TCAT_CD40LG/TXNIP","CD40LG/TXNIP","ULBP2",0.00535201193294323,0.654481818821178,6995,0.715839489335664
"TCAT_CD40LG/TXNIP","CD40LG/TXNIP","ULBP3",-0.157882113002789,2.80261618983073e-40,6995,1.17709879972891e-38
"TCAT_CD40LG/TXNIP","CD40LG/TXNIP","NKG2DL_sum",-0.0696275012132469,5.56242127663002e-09,6995,3.53972263058274e-08
"TCAT_Tph","Tph","MICA",0.0434981696432037,0.000273602994610568,6995,0.000870554982851806
"TCAT_Tph","Tph","MICB",0.0283416846444663,0.0177668816066766,6995,0.038865053514605
"TCAT_Tph","Tph","ULBP1",0.0124376663024684,0.298296959858173,6995,0.41485007662395
"TCAT_Tph","Tph","ULBP2",0.0526810213395145,1.04180489918486e-05,6995,4.20728901593885e-05
"TCAT_Tph","Tph","ULBP3",-0.099361511533265,8.12916242334179e-17,6995,1.06695256806361e-15
"TCAT_Tph","Tph","NKG2DL_sum",0.0354049714809331,0.00306111133674284,6995,0.00834848546384412
"TCAT_Exhaustion","Exhaustion","MICA",0.0309712806845513,0.00958432743393248,6995,0.0231345834612163
"TCAT_Exhaustion","Exhaustion","MICB",0.0536970987795022,7.00764864866678e-06,6995,2.94321243244005e-05
"TCAT_Exhaustion","Exhaustion","ULBP1",0.0143438625708444,0.230328816955112,6995,0.333579665934989
"TCAT_Exhaustion","Exhaustion","ULBP2",0.0208380226685695,0.0813879481114922,6995,0.136731752827307
"TCAT_Exhaustion","Exhaustion","ULBP3",-0.100673909144576,3.17557652100146e-17,6995,4.44580712940205e-16
"TCAT_Exhaustion","Exhaustion","NKG2DL_sum",0.0445131592845328,0.00019602232831871,6995,0.000653407761062365
"TCAT_Tfh-1","Tfh-1","MICA",0.00915963296868617,0.443702906385438,6995,0.535503507706563
"TCAT_Tfh-1","Tfh-1","MICB",0.00465119075134954,0.697320446740254,6995,0.743336516829712
"TCAT_Tfh-1","Tfh-1","ULBP1",0.0131910490617362,0.269984200847468,6995,0.385691715496382
"TCAT_Tfh-1","Tfh-1","ULBP2",0.016641826420259,0.164011639131758,6995,0.251404702318753
"TCAT_Tfh-1","Tfh-1","ULBP3",-0.0108163871668784,0.365727470572179,6995,0.467177645243859
"TCAT_Tfh-1","Tfh-1","NKG2DL_sum",0.000707961732454,0.952792335279064,6995,0.961953800041363
