ModelID	MICA	MICB	ULBP1	ULBP2	ULBP3	RAET1E	RAET1G	RAET1L	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype
ACH-000305	0.130343445430397	-0.18704682182712	0.0680893334394385	-0.202058140762952	-0.0252084439584129	0.0399495203760625	-0.222701105358896	-0.0936421605901267	EC-GI-10	ECGI10	ECGI10_OESOPHAGUS	Esophagus/Stomach	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000315	0.186086108616733	-0.439704588189305	0.134260768521831	-0.564899895370109	-0.445397206377863	0.0771495995666308	0.272269607383207	0.00652634745730085	KARPAS-422	KARPAS422	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS
ACH-000316	0.298314752746105	-0.22485116280688	0.227337545390748	-0.275855225241282	-0.127602480670872	0.0626983541549624	-0.227567759344668	-0.0896446000051783	SNU-886	SNU886	SNU886_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000323	-0.145173590586134	-0.124396067629676	-0.0666896745746389	0.0985940390472687	0.0643411242234653	0.194230491081096	-0.00913155115923683	-0.00348457470686618	42-MG-BA	42MGBA	42MGBA_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-000329	0.165366239075433	-0.20256251296008	0.0403105670808769	-0.0614925164180992	-0.235073706754103	0.0967834330813294	-0.0521428316190804	-0.143292239687169	CCF-STTG1	CCFSTTG1	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Astrocytoma
ACH-000336	0.0985545575125912	-0.270783609266126	0.192531833530554	-0.640762875108587	-0.145355494153189	0.104592071791575	-0.155817001462794	0.122556827667967	OCI-AML3	OCIAML3	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia
ACH-000341	0.0938568969003777	-0.298334921462334	0.241163491772382	-0.0248526545806451	-0.0556243420029196	0.054579571169086	-0.0739447676516914	-0.0565990252336336	SK-N-FI	SKNFI	SKNFI_AUTONOMIC_GANGLIA	Peripheral Nervous System	Neuroblastoma	Neuroblastoma
ACH-000346	0.0919501531076046	-0.281640683707776	-0.0160479076363614	-0.0309115279749023	-0.121711467612245	-0.0821993503488748	-0.0831869895132792	0.0273413934409302	JVM-3	JVM3	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	B-Cell Prolymphocytic Leukemia
ACH-000350	-0.138389219726684	-0.330012145603262	-0.0446297729046715	-0.111547070853992	0.0295160113328274	0.0778111286813017	0.172566243313641	-0.183190737823938	COLO-678	COLO678	COLO678_LARGE_INTESTINE	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma
ACH-000387	-0.0733066958642604	-0.325133491153631	0.0409846331502587	-0.249744622184728	-0.00476300793600738	0.122603864154966	0.0200745769219376	-0.0849260817090329	TF-1	TF1	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Myeloid	Acute Myeloid Leukemia	AML, NOS
